2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: Macro Key Plugin, RunningThread 00000000000009F4
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library Macro Key Plugin OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 14916] Before Library Macro Key Plugin into AddChildLibrary
2022-09-08 19:58:48; INFO; Macro Key Plugin; 5228; 14916] MacroKey Plugin: Initialize in UserSession.
2022-09-08 19:58:48; INFO; Macro Key Plugin; 5228; 14916] MacroKey Plugin: Initialized.
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 14916] (0)Macro Key Plugin into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: AC_FDSPlugIn, RunningThread 0000000000000870
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library AC_FDSPlugIn OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 23212] Before Library AC_FDSPlugIn into AddChildLibrary
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 23212] (0)AC_FDSPlugIn into AddChildLibrary OK
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT End
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead End, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] UserSessionPipeStreamServer OnRead Start, Command = 3
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] USH_COMMAND_INIT Start
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] StartRunning, Name: GameBoxPlugIn, RunningThread 0000000000000A0C
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 10908] ---Started to run library GameBoxPlugIn OK---
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] Before Library GameBoxPlugIn into AddChildLibrary
2022-09-08 19:58:48; INFO; Macro Key Plugin; 5228; 16424] MacroKey Plugin: Hidden Window Creation OK!
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49585
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49585 for id: {ABF503CF-C357-4A68-B3F2-03551FE38D14}
2022-09-08 19:58:48; INFO; User Session Manager; 5228; 984] ChangeWindowMessageFilter, add message: 49586
